"pais","cod_pais","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Cameroon","CMR",44.1905556257406,22.9789828972794,92.2853116578496,101.136381505496,28.1951054903375,32.0700039582512,26.2366452838388,28.9823436785672,27.5708271589799,33.8550438999916
"Congo, Dem. Rep.","COD",35.3337958832809,33.5499298835348,37.9312940253603,22.5761313949432,28.5976483983521,36.9293823768488,52.8366401818707,81.1673224123074,40.4911513766454,35.6155493303014
"Congo, Rep.","COG",33.9360814301856,406.941194135685,71.6585358410584,30.9123669652673,126.540302042569,71.2997363056364,323.277123557394,62.5575263289554,32.5907309712033,34.3601556003708
"Colombia","COL",12.1572907804828,14.4394320554745,22.5797467929368,16.379623256496,21.7457439212715,23.2291172442232,14.6743873401907,21.9299275794574,16.3019070959594,18.1125306313924
"Comoros","COM",42.8569772583126,37.405113217551,50.4879980562121,69.3713004539547,63.1787128013537,74.4890700965762,97.7966065307466,72.9218461057136,134.680731291428,108.062158023778
"Cabo Verde","CPV",306.576969412668,343.445291676507,290.863851630372,345.018887212796,458.596514435001,404.316656153105,666.790380501612,507.655116841257,490.426657615749,483.304353997374
"Costa Rica","CRI",3.55143575209116,6.17254451259145,5.13369182531523,12.6239711269,15.6721765361645,23.646129313781,20.9184354823132,6.80145384608195,6.11497528656158,6.97343402105161
"Caribbean small states","CSS",48.8035288218375,51.6014269528582,55.5506528407132,73.9109202401758,79.9919209568969,99.4984694001022,88.5720748941564,61.9335962598376,43.1648214856753,50.1897843424363
"Cuba","CUB",8.84910877277887,8.00458074432122,7.29122386221299,8.55633038619225,11.1166822952109,9.96331735980587,11.7128088252941,7.70781652782647,7.56085603066872,8.75335148367371
"Curacao","CUW",0,0,0,0,0,0,0,0,0,0
"Cayman Islands","CYM",0,0,0,0,0,0,0,0,0,0
"Cyprus","CYP",0,0,0,0,0,0,0,0,0,0
"Czech Republic","CZE",0,0,0,0,0,0,0,0,0,0
"Germany","DEU",0,0,0,0,0,0,0,0,0,0
"Djibouti","DJI",83.801866490196,95.2844659470765,146.246677508204,140.971764361467,173.929368521032,202.219981294896,158.918731538923,167.972991273482,173.807745915043,172.632363044992
"Dominica","DMA",418.059011731248,299.254344929262,278.1157165087,275.443181015608,313.342080388256,506.373688287908,455.969761265755,342.28733088709,358.233940154844,278.869522949795
"Denmark","DNK",0,0,0,0,0,0,0,0,0,0
"Dominican Republic","DOM",9.28924836512634,8.23377156209456,5.80600433257467,13.0698241307967,16.2995015509276,12.3017235210162,17.8410086176143,22.4131706548428,25.6148771899972,14.2888989523614
"Algeria","DZA",9.65864725003409,10.4419015250352,7.13140125338199,11.5291090521325,9.33123005536832,8.54165848676013,5.5846684437151,5.26593416936813,3.93488928129162,5.32706439130328
"East Asia & Pacific (excluding high income)","EAP",3.75917750888378,5.10898821784756,4.15340670122698,4.54698977730819,4.69310635708142,5.22418328387854,4.97865646193895,4.02377011551512,4.45210529994648,5.98783386161171
"Early-demographic dividend","EAR",7.90960435921786,9.01352286671101,8.74723840360423,9.20773373252707,11.3673687361023,11.7783950590996,12.4045009924389,13.1479333987947,12.0313398078275,15.9121120731139
"East Asia & Pacific","EAS",3.34119007339492,4.54355467086552,3.69517930568966,4.04685922296002,4.17770493742278,4.65194342766072,4.43492326906886,3.58595361653107,3.969496924184,5.34136200468979
"Europe & Central Asia (excluding high income)","ECA",12.1431928726964,12.4181194869514,15.4661267876612,14.70673221096,18.2519927643337,20.3732811586697,18.3278144781521,26.6950399299178,24.7557250627535,22.1389259195253
"Europe & Central Asia","ECS",5.61717172624285,5.73403553261638,7.17801551947265,6.78548516332188,8.45360146984686,9.32472026909113,8.37563083574572,12.0237368600317,11.1693439088018,10.0045810902027
"Ecuador","ECU",11.8404295597701,16.9258153047579,13.6517012004304,15.0617941147919,15.8614579584152,13.7816164794018,10.1073393411796,10.8418636277383,9.60213153571262,9.61094447259591
"Egypt, Arab Rep.","EGY",20.4684848109005,13.9918655885279,11.9065029583693,14.6268309648383,21.5514507030365,12.2913969681403,7.30330010384808,5.06363504667049,21.1698681389089,62.9182062861731
"Euro area","EMU",0,0,0,0,0,0,0,0,0,0
"Eritrea","ERI",64.8272380674044,83.4448149762614,29.3162409047402,35.9780396200984,32.3109745773821,31.0478891158013,34.6080230907801,27.8542866496519,0,0
"Spain","ESP",0,0,0,0,0,0,0,0,0,0
"Estonia","EST",0,0,0,0,0,0,0,0,0,0
"Ethiopia","ETH",24.5654856416528,25.1815625880655,25.8402560211746,31.5426866608067,39.9178580621131,44.8260950765115,39.4596667446839,38.867134239295,34.9760022134865,41.0919713995928
"European Union","EUU",0.242144390574636,0.248851115012332,0.394617022191917,0.325874761950247,0.480386836352466,0.335439141971669,0.260798604103574,0,0,0
"Fragile and conflict affected situations","FCS",45.5608213982135,93.8488401400768,62.8229491580466,70.2822263415715,80.1144177438308,70.3773540521232,71.0913897250387,75.3833166373401,69.5800700614738,75.8661967787562
"Finland","FIN",0,0,0,0,0,0,0,0,0,0
