País Origen,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
AMÉRICA DEL SUR,799980,846475,995282,1171137,1298189,1426380,1533207,1596394,1563040,1408785,1349962,1302889,1118055,937150,641209,353355,135904,96780,81712
Argentina,71855,75313,85803,98351,109258,120738,132249,142270,147382,141159,150252,152975,130851,109445,56714,32429,23351,21096,19315
Bolivia,115575,126375,150703,173702,186018,199080,213169,230703,242496,200496,139802,97947,52345,28432,13517,6619,2117,1430,1249
Brasil,73398,73863,81132,91828,99870,107596,117808,126185,116548,90161,72441,54115,37448,31270,23719,17078,11126,8332,6709
Chile,25407,26793,30759,35734,39204,41939,44570,46455,46068,40844,39704,35800,28260,23911,16949,11674,8203,7171,6550
Colombia,140527,151258,181875,222542,246345,273176,292641,296674,284581,261542,265141,271239,248894,244684,191018,87209,25247,13399,9997
Ecuador,158285,176397,218883,263498,308174,360710,399586,421426,427718,427099,461310,497799,475698,390297,259522,139022,20481,7155,3972
Paraguay,69286,69451,74910,83386,88327,87906,85687,81551,67403,46238,28587,16295,5734,2536,1365,928,711,611,594
Perú,65201,71112,90312,110156,122643,132552,140182,139179,121932,103650,95903,85029,68646,55915,44752,34975,27422,22747,19757
Uruguay,26009,27457,31146,35552,38980,42828,46865,50429,50544,46069,45508,42433,31413,20889,11352,6828,5092,4609,4452
Venezuela,54401,48421,49717,56338,59322,59805,60399,61468,58317,51481,51261,49206,38718,29716,22257,16549,12119,10194,8986
Resto de América del Sur,36,35,42,50,48,50,51,54,51,46,53,51,48,55,44,44,35,36,131
ASIA,400540,385655,381819,378537,368571,343731,317646,296734,256728,219843,217918,186848,141683,127885,98058,74413,56017,46881,42742
Arabia Saudí,707,699,599,516,447,338,286,284,312,325,337,268,212,208,161,159,137,125,135
Bangladesh,13387,12833,13547,13886,13075,12246,11147,9545,7984,6480,6318,4827,3174,2656,1933,1167,624,480,416
China,200147,191638,186031,181701,177001,167132,158244,147479,125914,106652,104681,87731,62498,51228,37651,27574,19191,14184,11611
Corea,3689,3560,3592,3527,3215,2916,2886,2859,2765,2465,2801,3018,2653,2886,2622,2363,2111,1942,1809
Filipinas,31447,30329,31025,31097,30641,29692,28953,27312,24120,20385,19794,19927,17595,17840,15017,12780,10950,9828,8930
India,38423,36724,36570,36598,35888,34130,32947,29742,25185,21296,20550,17558,13871,12657,10007,7996,6807,6278,5680
Indonesia,1454,1377,1336,1361,1346,1346,1374,1316,983,586,481,431,363,401,351,308,271,274,305
Irán,3533,3277,3329,3301,3010,2789,2687,2582,2462,2334,2641,2822,2516,2865,2689,2427,2138,2029,1839
Iraq,1170,1080,1020,1025,1002,991,1021,1056,982,880,1124,1258,1124,1346,1289,1116,891,800,789
Israel,1867,1777,1840,1914,1860,1879,1936,1894,1903,1713,1848,1818,1467,1322,933,708,580,475,465
Japón,5779,5674,5665,5635,5465,5285,5127,4949,4871,4636,5198,4999,4270,4520,3665,3142,2704,2427,2218
Jordania,1210,1160,1171,1224,1210,1211,1128,1148,1123,1088,1205,1297,1105,1200,1076,921,814,747,696
Kazajstán,1770,1527,1318,1182,1040,992,873,759,664,505,434,393,309,260,167,78,32,20,67
Líbano,1668,1575,1511,1437,1391,1357,1389,1431,1405,1250,1302,1442,1346,1483,1417,1263,1137,1080,1072
Nepal,3406,3264,3124,2848,2662,2543,2490,2257,1654,903,684,540,357,213,122,72,47,35,87
Pakistán,78323,77695,79619,81365,79984,70165,56877,54101,47001,42105,42138,31913,23140,21011,13971,8274,4195,3258,2565
Siria,4257,3820,3321,2816,2575,2497,2467,2429,2393,2129,2365,2579,2195,2266,2019,1623,1311,1186,1187
Tailandia,1717,1678,1599,1547,1451,1359,1287,1471,1290,921,792,757,648,592,515,439,373,325,333
Vietnam,970,834,729,719,658,618,515,449,413,330,335,363,329,324,331,325,333,320,343
Resto de Asia,5616,5134,4873,4838,4650,4245,4012,3671,3304,2860,2890,2907,2511,2607,2122,1678,1371,1068,2195
OCEANÍA,2908,2740,2701,2699,2585,2483,2535,2434,2405,2271,2363,2321,1920,2105,1746,1472,1264,1216,1563
Australia,2146,1975,1913,1923,1859,1759,1773,1697,1548,1455,1633,1635,1364,1498,1252,1099,1009,1006,871
Nueva Zelanda,611,604,650,638,611,606,625,603,720,681,495,390,307,329,258,211,172,122,166
Resto de Oceanía,151,161,138,138,115,118,137,134,137,135,235,296,249,278,236,162,83,88,526
APÁTRIDAS,924,778,608,557,568,544,533,530,557,580,673,721,581,631,587,508,413,285,259
